src_label,src_id,relation,dst_label,dst_id
Gene,#4335-Sporothrin-PKS,AFFECTS,Metabolite,sporothrins A; sporothrins B; sporothrin C
Gene,#4335-Sporothrin-PKS,APPLIED_IN,Species,Sporothrix sp.
Gene,#4335-Sporothrin-PKS,BELONGS_TO_TYPE,GeneType,PathwayGene
Gene,#4335-Sporothrin-PKS,SOURCE_FROM,Species,Sporothrix sp.
Gene,'TesA,AFFECTS,Metabolite,Free fatty acids; alkanes; alkenes
Gene,'TesA,APPLIED_IN,Species,Synechocystis sp. PCC 6803; Chlamydomonas reinhardtii
Gene,'TesA,BELONGS_TO_TYPE,GeneType,PathwayGene
Gene,'TesA,IN_PAPER,Paper,10.1016/j.ymben.2018.12.008
Gene,'TesA,SOURCE_FROM,Species,Escherichia coli
Gene,(+)-3-carene synthase,AFFECTS,Metabolite,(+)-3-carene
Gene,(+)-3-carene synthase,APPLIED_IN,Species,Picea abies
Gene,(+)-3-carene synthase,BELONGS_TO_TYPE,GeneType,PathwayGene
Gene,(+)-3-carene synthase,IN_PAPER,Paper,10.1111/j.1744-7909.2010.00910.x
Gene,(+)-3-carene synthase,SOURCE_FROM,Species,Picea abies
Gene,(+)-Abscisic acid 8'-hydroxylase,AFFECTS,Metabolite,Abscisic acid
Gene,(+)-Abscisic acid 8'-hydroxylase,APPLIED_IN,Species,Vitis vinifera
Gene,(+)-Abscisic acid 8'-hydroxylase,BELONGS_TO_TYPE,GeneType,PathwayGene
Gene,(+)-Abscisic acid 8'-hydroxylase,SOURCE_FROM,Species,Vitis vinifera
Gene,(+)-Abscisic acid 8'-hydroxylase (ABA8H),AFFECTS,Metabolite,Abscisic acid
Gene,(+)-Abscisic acid 8'-hydroxylase (ABA8H),APPLIED_IN,Species,Cassia angustifolia
Gene,(+)-Abscisic acid 8'-hydroxylase (ABA8H),BELONGS_TO_TYPE,GeneType,PathwayGene
Gene,(+)-Abscisic acid 8'-hydroxylase (ABA8H),IN_PAPER,Paper,10.1007/s10142-016-0523-y
Gene,(+)-Abscisic acid 8'-hydroxylase (ABA8H),SOURCE_FROM,Species,Cassia angustifolia
Gene,(+)-LS,AFFECTS,Metabolite,(+)-limonene
Gene,(+)-LS,APPLIED_IN,Species,Citrus sinensis
Gene,(+)-LS,BELONGS_TO_TYPE,GeneType,PathwayGene
Gene,(+)-LS,SOURCE_FROM,Species,Citrus sinensis
Gene,(+)-Menthofuran synthase,AFFECTS,Metabolite,Menthofuran
Gene,(+)-Menthofuran synthase,APPLIED_IN,Species,Mentha x piperita
Gene,(+)-Menthofuran synthase,BELONGS_TO_TYPE,GeneType,PathwayGene
Gene,(+)-Menthofuran synthase,IN_PAPER,Paper,10.1073/pnas.040616597
Gene,(+)-Menthofuran synthase,SOURCE_FROM,Species,Mentha x piperita
Gene,(+)-Pulegone reductase,AFFECTS,Metabolite,Menthol-related peppermint oil monoterpenes
Gene,(+)-Pulegone reductase,APPLIED_IN,Species,Mentha x piperita
Gene,(+)-Pulegone reductase,BELONGS_TO_TYPE,GeneType,PathwayGene
Gene,(+)-Pulegone reductase,IN_PAPER,Paper,10.1073/pnas.040616597
Gene,(+)-Pulegone reductase,SOURCE_FROM,Species,Mentha x piperita
Gene,(+)-bornyl diphosphate synthase,AFFECTS,Metabolite,camphor
Gene,(+)-bornyl diphosphate synthase,APPLIED_IN,Species,Salvia officinalis
Gene,(+)-bornyl diphosphate synthase,BELONGS_TO_TYPE,GeneType,PathwayGene
Gene,(+)-bornyl diphosphate synthase,IN_PAPER,Paper,10.1016/j.indcrop.2017.05.038
Gene,(+)-bornyl diphosphate synthase,SOURCE_FROM,Species,Salvia officinalis
Gene,(+)-cis-isopulegone isomerase,AFFECTS,Metabolite,(-)-menthol
Gene,(+)-cis-isopulegone isomerase,APPLIED_IN,Species,Mentha × piperita
Gene,(+)-cis-isopulegone isomerase,BELONGS_TO_TYPE,GeneType,PathwayGene
Gene,(+)-cis-isopulegone isomerase,IN_PAPER,Paper,10.1104/pp.121.1.215
Gene,(+)-cis-isopulegone isomerase,SOURCE_FROM,Species,Mentha × piperita
Gene,(+)-costunolide synthase,AFFECTS,Metabolite,(+)-costunolide
Gene,(+)-costunolide synthase,APPLIED_IN,Species,Cichorium intybus
Gene,(+)-costunolide synthase,BELONGS_TO_TYPE,GeneType,PathwayGene
Gene,(+)-costunolide synthase,IN_PAPER,Paper,10.1104/pp.127.1.343
Gene,(+)-costunolide synthase,SOURCE_FROM,Species,Cichorium intybus
Gene,(+)-germacrene A hydroxylase,AFFECTS,Metabolite,Sesquiterpene lactones (via (+)-costunolide precursor)
Gene,(+)-germacrene A hydroxylase,APPLIED_IN,Species,Cichorium intybus
Gene,(+)-germacrene A hydroxylase,BELONGS_TO_TYPE,GeneType,PathwayGene
Gene,(+)-germacrene A hydroxylase,IN_PAPER,Paper,10.1104/pp.117.2.1381
Gene,(+)-germacrene A hydroxylase,SOURCE_FROM,Species,Cichorium intybus
Gene,(+)-germacrene A synthase,AFFECTS,Metabolite,Sesquiterpene lactones
Gene,(+)-germacrene A synthase,APPLIED_IN,Species,Cichorium intybus
Gene,(+)-germacrene A synthase,BELONGS_TO_TYPE,GeneType,PathwayGene
Gene,(+)-germacrene A synthase,IN_PAPER,Paper,10.1104/pp.117.2.1381
Gene,(+)-germacrene A synthase,SOURCE_FROM,Species,Cichorium intybus
Gene,(+)-neomenthol dehydrogenase,AFFECTS,Metabolite,monoterpenoids
Gene,(+)-neomenthol dehydrogenase,APPLIED_IN,Species,Myrica rubra
Gene,(+)-neomenthol dehydrogenase,BELONGS_TO_TYPE,GeneType,PathwayGene
Gene,(+)-neomenthol dehydrogenase,IN_PAPER,Paper,10.1186/s12864-019-5827-9
Gene,(+)-neomenthol dehydrogenase,SOURCE_FROM,Species,Myrica rubra
Gene,(+)-pulegone reductase,AFFECTS,Metabolite,(-)-menthol
Gene,(+)-pulegone reductase,APPLIED_IN,Species,Mentha × piperita
Gene,(+)-pulegone reductase,BELONGS_TO_TYPE,GeneType,PathwayGene
Gene,(+)-pulegone reductase,IN_PAPER,Paper,10.1104/pp.121.1.215
Gene,(+)-pulegone reductase,SOURCE_FROM,Species,Mentha × piperita
Gene,(+)-sabinene synthase,AFFECTS,Metabolite,α/β-thujone
Gene,(+)-sabinene synthase,APPLIED_IN,Species,Salvia officinalis
Gene,(+)-sabinene synthase,BELONGS_TO_TYPE,GeneType,PathwayGene
Gene,(+)-sabinene synthase,IN_PAPER,Paper,10.1016/j.indcrop.2017.05.038
Gene,(+)-sabinene synthase,SOURCE_FROM,Species,Salvia officinalis
Gene,(+)-α-pinene synthase,AFFECTS,Metabolite,α-pinene
Gene,(+)-α-pinene synthase,APPLIED_IN,Species,Pinus taeda
Gene,(+)-α-pinene synthase,BELONGS_TO_TYPE,GeneType,PathwayGene
Gene,(+)-α-pinene synthase,IN_PAPER,Paper,10.1093/jxb/ery407
Gene,(+)-α-pinene synthase,SOURCE_FROM,Species,Pinus taeda
Gene,(+)-δ-cadinene synthase,AFFECTS,Metabolite,(+)-δ-cadinene
Gene,(+)-δ-cadinene synthase,AFFECTS,Metabolite,Gossypol
Gene,(+)-δ-cadinene synthase,APPLIED_IN,Species,Gossypium arboreum
Gene,(+)-δ-cadinene synthase,APPLIED_IN,Species,Gossypium barbadense
Gene,(+)-δ-cadinene synthase,BELONGS_TO_TYPE,GeneType,PathwayGene
Gene,(+)-δ-cadinene synthase,SOURCE_FROM,Species,Gossypium arboreum
Gene,(+)-δ-cadinene synthase,SOURCE_FROM,Species,Gossypium barbadense
Gene,(-) S-adenosyl-L-methionine-magnesium protoporphyrin methyltransferase,AFFECTS,Metabolite,chlorophyll a
Gene,(-) S-adenosyl-L-methionine-magnesium protoporphyrin methyltransferase,APPLIED_IN,Species,Zea mays
Gene,(-) S-adenosyl-L-methionine-magnesium protoporphyrin methyltransferase,BELONGS_TO_TYPE,GeneType,PathwayGene
Gene,(-) S-adenosyl-L-methionine-magnesium protoporphyrin methyltransferase,SOURCE_FROM,Species,Zea mays
Gene,(-)-Carveol dehydrogenase,AFFECTS,Metabolite,(-)-Carvone
Gene,(-)-Carveol dehydrogenase,APPLIED_IN,Species,Mentha spicata
Gene,(-)-Carveol dehydrogenase,BELONGS_TO_TYPE,GeneType,PathwayGene
Gene,(-)-Carveol dehydrogenase,IN_PAPER,Paper,10.1093/jxb/ery421
Gene,(-)-Carveol dehydrogenase,SOURCE_FROM,Species,Mentha spicata
