id,label,gene_type,accession,title,file
GlMADS1,Gene,RegulationGene,MN832875,,
RegulationGene,GeneType,,,,
Ganoderma lucidum,Species,,,,
ganoderic acid; flavonoids,Metabolite,,,,
triterpenoid; flavonoid,MetaboliteClass,,,,
"secondary metabolite biosynthesis, especially ganoderic acid biosynthesis and flavonoid accumulation",Process,,,,
10.1111/j.1365-313X.2011.04520.x,Paper,,,The family of terpene synthases in plants: a mid-size family of genes for specialized metabolism that is highly diversified throughout the kingdom,10.1111@j.1365-313X.2011.04520.x_nutri_plant_verified.json
PpCPS/KS,Gene,PathwayGene,NA,,
PathwayGene,GeneType,,,,
Physcomitrella patens,Species,,,,
ent-kaurene-derived diterpenes / gibberellin-related diterpenoid precursor,Metabolite,,,,
terpenoid,MetaboliteClass,,,,
CPS,Gene,PathwayGene,NA,,
gibberellins and other labdane-related diterpenoids,Metabolite,,,,
KS,Gene,PathwayGene,NA,,
gibberellins,Metabolite,,,,
AtTPS04,Gene,PathwayGene,At1g61120,,
Arabidopsis thaliana,Species,,,,
"TMTT ((E,E)-4,8,12-trimethyltrideca-1,3,7,11-tetraene)",Metabolite,,,,
AtTPS03,Gene,PathwayGene,At4g16740,,
"(E,E)-α-farnesene",Metabolite,,,,
AtTPS21,Gene,PathwayGene,NA,,
(E)-β-caryophyllene,Metabolite,,,,
AtTPS11,Gene,PathwayGene,NA,,
floral sesquiterpene blend,Metabolite,,,,
AtTPS23,Gene,PathwayGene,At3g25820,,
"1,8-cineole",Metabolite,,,,
AtTPS27,Gene,PathwayGene,At3g25830,,
AtTPS12,Gene,PathwayGene,At4g13280,,
(Z)-γ-bisabolene-derived root sesquiterpenes,Metabolite,,,,
AtTPS13,Gene,PathwayGene,At4g13300,,
AtTPS02,Gene,PathwayGene,NA,,
(E)-β-ocimene,Metabolite,,,,
PtdTPS1,Gene,PathwayGene,NA,,
Populus trichocarpa × Populus deltoides,Species,,,,
(-)-germacrene D,Metabolite,,,,
VvValCS / VvValGw,Gene,PathwayGene,NA,,
Vitis vinifera,Species,,,,
grape sesquiterpene aroma volatiles,Metabolite,,,,
OsCPS1,Gene,PathwayGene,NA,,
Oryza sativa,Species,,,,
OsCPS2,Gene,PathwayGene,NA,,
phytocassanes / oryzalexins and related rice diterpenoid phytoalexins,Metabolite,,,,
OsCPSSyn,Gene,PathwayGene,NA,,
momilactones; syn-labdane-related diterpenoids,Metabolite,,,,
OsKS1,Gene,PathwayGene,NA,,
OsKSL4 (OsDTS2),Gene,PathwayGene,NA,,
momilactone-related / syn-labdane defensive diterpenoids,Metabolite,,,,
OsKS5,Gene,PathwayGene,NA,,
rice diterpenoid phytoalexins,Metabolite,,,,
